"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Feb 13 06:54:59 2026"
"FAPP-info","Type of program","SERIAL"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","-"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","a25-6104b","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","warmup","1","0.000087","-","-","1"
"FAPP-time-stat","0","0","tag_0x0","1","0.003393","-","-","1"
"FAPP-time-stat","0","0","tag_0x2","1","0.003361","-","-","1"
"FAPP-time-stat","0","0","tag_0xA","1","0.003362","-","-","1"
"FAPP-time-stat","0","0","tag_0xB","1","0.003408","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0011","0x0008","0x0004","0x0003","0x0200","0x0015","0x0184","0x0180"
"FAPP-cpupa","Process","0","0","-","warmup","1","1","9418","192191","192191","124430","23043","5216","225","135","4639","858"
"FAPP-cpupa","Thread","0","0","0","warmup","1","1","9418","192191","192191","124430","23043","5216","225","135","4639","858"
"FAPP-cpupa","Process","0","0","-","tag_0x0","1","1","339602","7398873","7398873","4917187","860019","205830","6044","362","17472","438"
"FAPP-cpupa","Thread","0","0","0","tag_0x0","1","1","339602","7398873","7398873","4917187","860019","205830","6044","362","17472","438"
"FAPP-cpupa","Process","0","0","-","tag_0x2","1","1","336419","7393465","7393465","4917170","859720","205824","6021","299","14343","0"
"FAPP-cpupa","Thread","0","0","0","tag_0x2","1","1","336419","7393465","7393465","4917170","859720","205824","6021","299","14343","0"
"FAPP-cpupa","Process","0","0","-","tag_0xA","1","1","336404","7393282","7393282","4917170","859634","205824","6021","295","14309","0"
"FAPP-cpupa","Thread","0","0","0","tag_0xA","1","1","336404","7393282","7393282","4917170","859634","205824","6021","295","14309","0"
"FAPP-cpupa","Process","0","0","-","tag_0xB","1","1","341024","7395309","7395309","4917187","859822","205831","6026","392","15719","438"
"FAPP-cpupa","Thread","0","0","0","tag_0xB","1","1","341024","7395309","7395309","4917187","859822","205831","6026","392","15719","438"
