"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Feb 13 06:43:46 2026"
"FAPP-info","Type of program","SERIAL"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","-"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","a25-6104b","3","50"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","warmup","1","0.000088","-","-","1"
"FAPP-time-stat","0","0","tag_0x0","1","0.003362","-","-","1"
"FAPP-time-stat","0","0","tag_0x2","1","0.003387","-","-","1"
"FAPP-time-stat","0","0","tag_0xA","1","0.003360","-","-","1"
"FAPP-time-stat","0","0","tag_0xB","1","0.003360","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0011","0x0240","0x0241","0x0250","0x0252","0x02a0","0x02a1","0x0260"
"FAPP-cpupa","Process","0","0","-","warmup","1","1","9392","191809","191809","17106","42687","1268","21670","0","0","904"
"FAPP-cpupa","Thread","0","0","0","warmup","1","1","9392","191809","191809","17106","42687","1268","21670","0","0","904"
"FAPP-cpupa","Process","0","0","-","tag_0x0","1","1","336468","7394264","7394264","638981","1651019","21165","832973","0","0","14329"
"FAPP-cpupa","Thread","0","0","0","tag_0x0","1","1","336468","7394264","7394264","638981","1651019","21165","832973","0","0","14329"
"FAPP-cpupa","Process","0","0","-","tag_0x2","1","1","339010","7391912","7391912","639086","1650968","21195","832866","20713","832203","14385"
"FAPP-cpupa","Thread","0","0","0","tag_0x2","1","1","339010","7391912","7391912","639086","1650968","21195","832866","20713","832203","14385"
"FAPP-cpupa","Process","0","0","-","tag_0xA","1","1","336292","7390807","7390807","638959","1650779","21160","832737","20705","832109","14332"
"FAPP-cpupa","Thread","0","0","0","tag_0xA","1","1","336292","7390807","7390807","638959","1650779","21160","832737","20705","832109","14332"
"FAPP-cpupa","Process","0","0","-","tag_0xB","1","1","336273","7390481","7390481","638966","1650760","21170","832723","20708","832094","14367"
"FAPP-cpupa","Thread","0","0","0","tag_0xB","1","1","336273","7390481","7390481","638966","1650760","21170","832723","20708","832094","14367"
